COUNT,X,Y,Zebra,Wildebeest,Elephant,Buffalo,Shoats,Cattle,Giraffe,Grant's Gazelles,Thomson's gazelles
1/2/1978,37.56107,-2.19263,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/2/1978,37.60531,-2.87108,0.0,0.0,0.0,0.0,0.0,52.9,0.0,0.0,0.0
1/2/1978,37.60536,-2.82585,0.0,0.0,0.0,0.0,327.8,81.4,4.3,0.0,0.0
1/2/1978,37.60541,-2.78062,0.0,0.0,0.0,43.6,287.8,10.7,0.7,0.0,0.0
1/2/1978,37.60552,-2.69017,0.0,0.0,0.0,0.0,0.0,113.6,0.0,8.6,0.0
1/2/1978,37.60561,-2.59972,0.0,0.0,0.0,0.0,0.0,27.8,0.0,0.7,0.0
1/2/1978,37.60576,-2.46404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7
1/2/1978,37.60585,-2.37358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0
1/2/1978,37.60589,-2.32835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,0.0
1/2/1978,37.60594,-2.28313,0.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/2/1978,37.60598,-2.2379,0.0,0.0,0.0,0.0,80.0,35.7,0.0,0.0,0.0
1/2/1978,37.60602,-2.19267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4
1/2/1978,37.65028,-2.87113,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/2/1978,37.65033,-2.8259,0.0,0.0,0.0,0.0,0.0,132.1,1.4,0.0,0.0
1/2/1978,37.65039,-2.78068,29.3,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
1/2/1978,37.65053,-2.64499,0.0,0.0,0.0,0.0,387.1,0.7,0.0,0.0,0.0
1/2/1978,37.65063,-2.55454,39.3,48.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/2/1978,37.65067,-2.50931,0.0,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/2/1978,37.65072,-2.46408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1/2/1978,37.65093,-2.23794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0
1/2/1978,37.65097,-2.19271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0
1/2/1978,37.69516,-2.96164,0.0,0.0,0.0,0.0,108.6,9.3,0.0,0.0,0.0
1/2/1978,37.69526,-2.87118,0.0,0.0,0.0,0.0,15.7,0.0,0.0,0.0,0.0
1/2/1978,37.69536,-2.78073,0.0,0.0,0.0,0.0,0.0,10.7,0.0,0.0,0.0
1/2/1978,37.69546,-2.69027,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0
1/2/1978,37.6955,-2.64504,0.0,0.0,0.0,0.0,1.4,0.0,0.7,0.0,0.0
1/2/1978,37.69555,-2.59981,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0
1/2/1978,37.69564,-2.50935,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1.4,2.2
1/2/1978,37.69568,-2.46413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0
1/2/1978,37.74014,-2.96169,0.0,0.0,0.0,0.0,48.6,160.0,0.0,0.0,0.0
1/2/1978,37.74019,-2.91646,10.0,0.0,0.0,0.0,0.0,0.0,6.4,14.3,0.0
1/2/1978,37.74024,-2.87123,15.7,0.0,0.0,0.0,0.0,0.0,12.9,0.0,0.0
